patch_outcome,status_details,action
patched,Success,"Installation run completed. Check SSM Patch Compliance for installed/missing counts and reboot requirements."
scanned,Success,"Patch scan completed. A scan installs nothing; review compliance and schedule an installation if needed."
failed,Failed,"Invocation failed. Inspect stdout for this account, region, command_id and instance_id."
failed,Execution Timed Out,"Execution started but timed out. Inspect instance load and the execution timeout."
not-attempted,Terminated,"Invocation stopped by the parent error threshold. Review the original failure and re-run the skipped invocation."
not-attempted,Undeliverable,"SSM could not deliver the command. Check agent and connectivity before re-running."
not-attempted,Delivery Timed Out,"Command delivery expired. Check agent and connectivity before re-running."
not-attempted,Invalid Platform,"Document does not support the target platform. Correct targeting."
not-attempted,Access Denied,"SSM access to the target was denied. Check the initiating identity and target permissions."
unknown,Success,"The document succeeded but its Scan/Install operation is unavailable. Do not infer patch installation."
unknown,Cancelled,"Cancelled before completion; execution may have started. Inspect invocation details before re-running."
unknown,Failed,"Failure details are unavailable. Execution versus non-delivery is unresolved; inspect SSM."
unknown,TimedOut,"Timeout details are unavailable. Delivery versus execution timeout is unresolved; inspect SSM."
unknown,Incomplete,"Command summary only. Inspect the individual invocation outcomes."
unknown,RateExceeded,"Command exceeded the pending-invocation quota. Inspect command targets and account quotas."
unknown,No Instances In Tag,"No matching command targets. Check the target tag selection."
unknown,unknown,"Insufficient execution details or a pipeline canary. Check record_type and the original event."
